code,stop_name,street_name,lat,lng,route
SL29,SL29 KOMPLEKS AMANIAH (OPP),JLN BT CAVES,3.235101,101.675116,173;MPS1
SL30,SL30 KOMERSIAL TAMAN SELAYANG,JLN SG TUA,3.235967415,101.6735984,173;MPS1
SL31,SL31 SK TMN SELAYANG,JLN SG TUA,3.241483,101.673317,173;MPS1
SL33,SL33 KOMPLEKS SRI SIANTAN,JLN SG TUA,3.246273419,101.6740809,173;MPS1
SL56,SL56 BALAI MUKIM BATU,JLN SG TUA,3.248154349,101.6744866,173
SL82,SL82 SIMPANG MASUK KG NAKHODA,JLN SG TUA,3.250468,101.675729,173
SL475,SL475 KG BARU SG TUA (BARAT),JLN NAKHODA KIRI,3.25276132,101.6780357,173
SL68,SL68 KG BARU SG TUA (TIMUR),JLN NAKHODA KIRI,3.254213053,101.6798831,173
SL69,SL69 RUMAH NO 8970,JLN NAKHODA KIRI,3.253465202,101.6824562,173
SL70,SL70 RUMPUN NAKHODA RESIDENCE,JLN NAKHODA KANAN,3.252813755,101.68367,173
SL71,SL71 LORONG NAKHODA 25,JLN NAKHODA KANAN,3.249419023,101.679279,173
SL57,SL57 SRA SG TUA (OPP),JLN SG TUA,3.252764,101.674759,173
SL58,SL58 KG SG TUA BARU,JLN SG TUA,3.256723,101.672816,173
SL472,SL472 TAMAN SELAYANG MUTIARA,JLN SG TUA,3.260413,101.673384,173
SL60,SL60 KG BENDAHARA,JLN SG TUA,3.261955,101.675879,173
SL61,SL61 BDR BARU SELAYANG FASA 2A,JLN SG TUA,3.263028,101.678498,173
SL473,SL473 HAB TAMAN JASA UTAMA,PERS JASA UTAMA,3.268909,101.681395,173
SL62,SL62 BDR BARU SELAYANG FASA 2A,JLN SG TUA,3.262902,101.678608,173
SL63,SL63 KG BENDAHARA,JLN SG TUA,3.261787,101.675915,173
SL64,SL64 TAMAN SELAYANG MUTIARA,JLN SG TUA,3.260214,101.673732,173
SL65,SL65 KG SG TUA BARU,JLN SG TUA,3.256445,101.673152,173
SL66,SL66 SRA SG TUA,JLN SG TUA,3.252986,101.674986,173
SL75,SL75 AZMIDA TECHNICAL COLLEGE (OPP),JLN NAKHODA KANAN,3.249893,101.676544,173
SL72,SL72 MASJID KG NAKHODA,JLN NAKHODA KANAN,3.249407,101.677987,173
SL73,SL73 KG LAKSAMANA (UTARA),JLN NAKHODA KANAN,3.250065,101.679948,173
